id,nombre,titulo,contrato,horas_contratadas,email,evaluacion
363,Ana Herrera,Técnico/a,Honorarios,44,ana.rodríguez32@ceduc.cl,4.20
333,Ana Martínez,Técnico/a,Planta,44,ana.martínez2@ceduc.cl,4.20
381,Andrés Campos,Ingeniero/a,Honorarios,44,andrés.sepúlveda50@ceduc.cl,4.00
351,Andrés Contreras,Ingeniero/a,Planta,44,andrés.contreras20@ceduc.cl,4.00
354,Camila Gutiérrez,Magíster,Planta,44,camila.gutiérrez23@ceduc.cl,4.30
384,Camila Martínez,Magíster,Honorarios,44,camila.núñez53@ceduc.cl,4.30
364,Carlos Flores,Magíster,Honorarios,44,carlos.sánchez33@ceduc.cl,4.30
334,Carlos López,Magíster,Planta,44,carlos.lópez3@ceduc.cl,4.30
369,Carmen Silva,Magíster,Honorarios,44,carmen.flores38@ceduc.cl,4.80
339,Carmen Vásquez,Magíster,Planta,44,carmen.vásquez8@ceduc.cl,4.80
348,Claudia Muñoz,Técnico/a,Planta,44,claudia.muñoz17@ceduc.cl,4.70
378,Claudia Reyes,Técnico/a,Honorarios,44,claudia.vargas47@ceduc.cl,4.70
356,Daniela Núñez,Ingeniero/a,Planta,44,daniela.núñez25@ceduc.cl,4.50
386,Daniela Rodríguez,Ingeniero/a,Honorarios,44,daniela.campos55@ceduc.cl,4.50
338,Diego Fernández,Técnico/a,Planta,44,diego.fernández7@ceduc.cl,4.70
341,Elena Flores,Ingeniero/a,Planta,44,elena.flores10@ceduc.cl,4.00
371,Elena Muñoz,Ingeniero/a,Honorarios,44,elena.morales40@ceduc.cl,4.00
389,Felipe Fernández,Magíster,Honorarios,44,felipe.martínez58@ceduc.cl,4.80
359,Felipe González,Magíster,Planta,44,felipe.gonzález28@ceduc.cl,4.80
347,Fernando Castro,Licenciado/a,Planta,44,fernando.castro16@ceduc.cl,4.60
377,Fernando Gutiérrez,Licenciado/a,Honorarios,44,fernando.rojas46@ceduc.cl,4.60
358,Francisca Campos,Técnico/a,Planta,44,francisca.campos27@ceduc.cl,4.70
388,Francisca Ramírez,Técnico/a,Honorarios,44,francisca.pérez57@ceduc.cl,4.70
352,Gabriela Espinoza,Licenciado/a,Planta,44,gabriela.espinoza21@ceduc.cl,4.10
382,Gabriela González,Licenciado/a,Honorarios,44,gabriela.gutiérrez51@ceduc.cl,4.10
375,Javier Espinoza,Doctor/a,Honorarios,44,javier.castro44@ceduc.cl,4.40
345,Javier Ruiz,Doctor/a,Planta,44,javier.ruiz14@ceduc.cl,4.40
360,Javiera Pérez,Doctor/a,Planta,44,javiera.pérez29@ceduc.cl,4.90
390,Javiera Vásquez,Doctor/a,Honorarios,44,javiera.lópez59@ceduc.cl,4.90
332,Juan Pérez,Licenciado/a,Planta,44,juan.pérez1@ceduc.cl,4.10
362,Juan Vásquez,Licenciado/a,Honorarios,44,juan.lópez31@ceduc.cl,4.10
335,Laura Rodríguez,Doctor/a,Planta,44,laura.rodríguez4@ceduc.cl,4.40
365,Laura Torres,Doctor/a,Honorarios,44,laura.ramírez34@ceduc.cl,4.40
372,Luis Rojas,Licenciado/a,Honorarios,44,luis.díaz41@ceduc.cl,4.10
342,Luis Torres,Licenciado/a,Planta,44,luis.torres11@ceduc.cl,4.10
361,María Fernández,Ingeniero/a,Honorarios,44,maría.martínez30@ceduc.cl,4.00
331,María González,Ingeniero/a,Planta,44,maría.gonzález0@ceduc.cl,4.00
357,Matías Pizarro,Licenciado/a,Planta,44,matías.pizarro26@ceduc.cl,4.60
387,Matías Sánchez,Licenciado/a,Honorarios,44,matías.gonzález56@ceduc.cl,4.60
374,Miguel Contreras,Magíster,Honorarios,44,miguel.silva43@ceduc.cl,4.30
344,Miguel Díaz,Magíster,Planta,44,miguel.díaz13@ceduc.cl,4.30
376,Patricia Sepúlveda,Ingeniero/a,Honorarios,44,patricia.muñoz45@ceduc.cl,4.50
346,Patricia Silva,Ingeniero/a,Planta,44,patricia.silva15@ceduc.cl,4.50
343,Paula Morales,Técnico/a,Planta,44,paula.morales12@ceduc.cl,4.20
373,Paula Vargas,Técnico/a,Honorarios,44,paula.ruiz42@ceduc.cl,4.20
366,Pedro Morales,Ingeniero/a,Honorarios,44,pedro.fernández35@ceduc.cl,4.50
336,Pedro Sánchez,Ingeniero/a,Planta,44,pedro.sánchez5@ceduc.cl,4.50
379,Ricardo Núñez,Magíster,Honorarios,44,ricardo.contreras48@ceduc.cl,4.80
349,Ricardo Rojas,Magíster,Planta,44,ricardo.rojas18@ceduc.cl,4.80
370,Roberto Castro,Doctor/a,Honorarios,44,roberto.torres39@ceduc.cl,4.90
340,Roberto Herrera,Doctor/a,Planta,44,roberto.herrera9@ceduc.cl,4.90
383,Rodrigo Pérez,Técnico/a,Honorarios,44,rodrigo.reyes52@ceduc.cl,4.20
353,Rodrigo Sepúlveda,Técnico/a,Planta,44,rodrigo.sepúlveda22@ceduc.cl,4.20
385,Sebastián López,Doctor/a,Honorarios,44,sebastián.pizarro54@ceduc.cl,4.40
355,Sebastián Reyes,Doctor/a,Planta,44,sebastián.reyes24@ceduc.cl,4.40
367,Sofía Díaz,Licenciado/a,Honorarios,44,sofía.vásquez36@ceduc.cl,4.60
337,Sofía Ramírez,Licenciado/a,Planta,44,sofía.ramírez6@ceduc.cl,4.60
380,Valentina Pizarro,Doctor/a,Honorarios,44,valentina.espinoza49@ceduc.cl,4.90
350,Valentina Vargas,Doctor/a,Planta,44,valentina.vargas19@ceduc.cl,4.90
